Key	Ýngilizce	Türkçe
$CrimsonFleet	Crimson Fleet	 Kýzýl Filo
$CRIT	CRIT	 KRÝTÝK
$CRITICAL	CRITICAL	 KRÝTÝK
$CRITICAL SUCCESS!	CRITICAL SUCCESS!	 KRÝTÝK BAÞARI!
$Crosshair	Crosshair	 Artý iþareti
$Crosshair Desc	Enables the HUD crosshair.	 HUD artý iþaretini etkinleþtirir.
$CURRENT BIOME:	CURRENT BIOME:	 MEVCUT BÝYOM:
$CURRENT MODS	CURRENT MODS	 GÜNCEL MODLAR
$CURRENT MODS:	CURRENT MODS:	 MEVCUT MODLAR:
$CurrentlyBuilt	Currently Built	 Þu anda inþa edilmiþ
$CURRENT_LINK:	CURRENT LINK:	 GÜNCEL BAÐLANTI:
$CURRENT_RANK	CURRENT RANK	 MEVCUT SIRALAMA
$CURRENT_RANK:	CURRENT RANK	 MEVCUT SIRALAMA
$CUSTOMIZE	CUSTOMIZE	 ÖZELLEÞTÝRMEK
$CYCLE DAMAGE	CYCLE DAMAGE	 DÖNGÜ HASARI
$Cycle Parts	CYCLE PART	 DÖNGÜ PARÇASI
$CycleSystem	CYCLE SYSTEM	 DÖNGÜ SÝSTEMÝ
$CycleTarget	CYCLE TARGET	 DÖNGÜ HEDEFÝ
$CYCLE_COLUMN	CYCLE COLUMN	 ÇEVRÝM SÜTUNU
$DAMAGE	DAMAGE	 ZARAR
$Damage Rating:	Damage Rating:	 Hasar Derecesi:
$Damage Resistance	Damage Resistance	 Hasar direnci
$DAMAGE RESISTANCES	DAMAGE RESISTANCES	 HASAR DÝRENÇLERÝ
$DAMAGE TYPES	DAMAGE TYPES	 HASAR TÜRLERÝ
$DANGER	DANGER	 TEHLÝKE
$DATA	DATA	 VERÝ
$DataMenu	DATA MENU	 VERÝ MENÜSÜ
$DataMenu_Cancel	Exit	 çýkýþ
$DataMenu_Pause	Open Pause Menu	 Duraklat Menüsünü Aç
$DataSlate_AudioLog	AUDIO LOG	 SES KAYDI
$DataSlate_ImageLog	IMAGE LOG	 GÖRÜNTÜ GÜNLÜÐÜ
$DataSlate_TextLog	TEXT LOG	 METÝN GÜNLÜÐÜ
$DAY	DAY	 GÜN
$DAYS	DAYS	 GÜNLER
$DECLINE	DECLINE	 REDDETMEK
$DeconnectedController	Connect a controller and press A button to continue.	 Bir denetleyici baðlayýn ve devam etmek için A düðmesine basýn.
$DECORATE	DECORATE	 SÜSLEMEK
$Default	Default	 Varsayýlan
$DEFAULTS	DEFAULTS	 VARSAYILANLAR
$DEFAULT_COLOR	Default	 Varsayýlan
$DEFAULT_COLOR_ALL	Default All	 Varsayýlan Tümü
$DELETE	DELETE	 SÝLMEK
$Delete	Delete	 Silmek
$Delete Photo?	Delete Photo?	 Fotoðrafý sil?
$Delete this save?	Delete this save?	 Bu kaydetme silinsin mi?
$DeleteAllMods	Delete All Mods	 Tüm Modlarý Sil
$DeleteAllMods_Confirm	Do you really want to delete all downloaded mods?	 Ýndirilen tüm modlarý gerçekten silmek istiyor musunuz?
$DeleteLibraryMod_Confirm	Are you sure you want to delete this mod?  If this mod is not registered with Bethesda.net, it will no longer be recoverable.	 Bu modu silmek istediðinizden emin misiniz? Bu mod Bethesda.net'te kayýtlý deðilse artýk kurtarýlamaz.
$DeleteMod_Confirm	Do you want to delete this mod?	Bu modu silmek istiyor musunuz?
$DELETE_BINDING	DELETE BINDING	 BAÐLAMAYI SÝL
$Deleting	Deleting...	 Siliniyor...
$Depth of Field	Depth of Field	 Alan derinliði
$DERMAESTHETIC	DERMAESTHETIC	 DERMAESTETÝK
$DESCENDING	DESC	 TANIM
$Description	DESCRIPTION	 TANIM
$DescriptionLabel	Description:	 Taným:
$DESELECT	DESELECT	 SEÇÝMÝ KALDIR
$Designation	DESIGNATION	 GÖREV
$Desktop	Desktop	 Masaüstü
$DESKTOP	DESKTOP	 MASAÜSTÜ
$DEST	DEST	 HEDEF
$DESTINATION	DESTINATION	 VARIÞ NOKTASI
$Detach	DETACH	 AYRIL
$DETAILED SPECS	DETAILED SPECS	 DETAYLI ÖZELLÝKLER
$DETAILS	DETAILS	 DETAYLAR
$DetailsPageError_ExtractFail	This mod has failed to install completely.	 Bu mod tamamen yüklenemedi.
$DetailsPageError_ExtractInvalidMod	This mod is invalid and cannot be installed.	 Bu mod geçersiz ve yüklenemiyor.
$DetailsPageError_ExtractTooLarge	Not enough free memory to install this mod.	 Bu modu yüklemek için yeterli boþ hafýza yok.
$DetailsPageError_Generic	The operation could not be completed.	 Operasyon tamamlanamadý.
$DetailsPageError_ModDeleted	This mod is no longer available.	 Bu mod artýk mevcut deðil.
$DetailsPageError_ModDownloadFail	This mod has failed to download.	 Bu mod indirilemedi.
$DetailsPageError_ModTooLarge	Not enough free memory to download this mod.	 Bu modu indirmek için yeterli boþ hafýza yok.
$DETECTED	DETECTED	 SAPTANMIÞ
$DETECTION WARNING	DETECTION WARNING	 ALGILAMA UYARISI
$Detrimental	Detrimental	 Zararlý
$DEV_CREW	CREW	 MÜRETTEBAT
$Dialogue Camera	Dialogue Camera	 Diyalog Kamerasý
$Dialogue Subtitles	Dialogue Subtitles	 Diyalog Altyazýlarý
$Dialogue Subtitles Desc	Enables subtitles during dialogue.	 Diyalog sýrasýnda altyazýlarý etkinleþtirir.
$DialogueNegative	Negative	 Olumsuz
$DialogueNeutral	Neutral	 Doðal
$DialoguePositive	Positive	 Pozitif
$DialogueQuestion	Question	 Soru
$Difficulty	Difficulty	 Zorluk
$DIGIPICKLINKED	DIGIPICK LINKED	 DIGIPICK BAÐLANTILI
$DIGIPICKS	DIGIPICKS	 DIGIPICK'LER
$Directory	Directory	 Rehber
$DIRT	DIRT	 KÝR
$DisableAllMods	Disable All Mods	 Tüm Modlarý Devre Dýþý Býrak
$Disabled	Disabled	 Engelli
$DisableMod	Disable	 Devre dýþý býrakmak
$Disarm	Disarm	 Etkisiz hale getirmek
$DiscoveredText	Discovered	 Keþfetti
$DISMISS	DISMISS	 AZLETMEK
$DISPLAY	DISPLAY	 GÖRÜNTÜLEMEK
$Display	Display	Görüntülemek
$DISTANCE	DISTANCE	 MESAFE
$Distance	Distance	 Mesafe
$distance (ly)	DISTANCE (LY)	 MESAFE (LY)
$dmg	Damage	 Zarar
$DMG	DMG	 DMG
$DOCK	DOCK	 RIHTIM
$DOCKED	DOCKED	 YERLEÞTÝRÝLDÝ
$DocsHeader	Updated Agreement	 Güncellenmiþ Sözleþme
$DocsInstructions	By clicking ‘Accept’ I confirm I have read and acknowledged the ZeniMax Media Privacy Policy and I agree to the ZeniMax Media Terms of Service and Code of Conduct	 'Kabul Et'i týklayarak ZeniMax Medya Gizlilik Politikasýný okuyup kabul ettiðimi ve ZeniMax Medya Hizmet Þartlarý ve Davranýþ Kurallarýný kabul ettiðimi onaylýyorum
$DONE	DONE	 TAMAMLAMAK
$Download	Download	 Ýndirmek
$Downloading...	Downloading...	 Ýndiriliyor...
$DownloadSize:	Download Size:	 Ýndirme Boyutu:
$DPS	DPS	 DPS
$dr	DMG Resist	 DMG Direnci
$DRAirborne	Airborne	 Havadan
$DRAirborne_LRG	Airborne	 Havadan
$DRCorrosive	Corrosive	 Aþýndýrýcý
$DRCorrosive_LRG	Corrosive	 Aþýndýrýcý
$DRIVE DAMAGE	DRIVE DAMAGE	 SÜRÜCÜ HASARI
$DROP	DROP	 DÜÞÜRMEK
$Drop:	Drop:	 Düþürmek:
$DRRadiation	Radiation	 Radyasyon
$DRRadiation_LRG	Radiation	 Radyasyon
$DRThermal	Thermal	 Termal
$DRThermal_LRG	Thermal	 Termal
$DTI	DTI	 DTI
$DUPLICATE	DUPLICATE	 KOPYALAMAK
$Easy	Easy	 Kolay
$Edit	Edit	 Düzenlemek
$EDIT	EDIT	 DÜZENLEMEK
$EDIT COLOR	COLOR	 RENK
$Effects	Effects	 Etkileri
$EFFECTS	EFFECTS	 ETKÝLERÝ
$Effects Audio Desc	Controls the volume of the sound effects.	 Ses efektlerinin ses düzeyini kontrol eder.
$ELC	ELC	 ELC
$ELECTROMAGNETIC	ELECTROMAGNETIC	 ELEKTROMANYETÝK
$ELECTROMAGNETIC DAMAGE	ELECTROMAGNETIC DMG	 ELEKTROMANYETÝK HASAR
$ELEMENTAL STATS	ELEMENTAL STATS	 ELEMENT ÝSTATÝSTÝKLERÝ
$EliminateUnusedKeys	Eliminate Unused Keys	 Kullanýlmayan Anahtarlarý Ortadan Kaldýrýn
$ELM	ELM	 KARAAÐAÇ
$EM	EM	 EM
$Email Address	Email Address	 E-posta Adresi
$EMPLOYEE NUMBER:	EMPLOYEE NUMBER:	 ÇALIÞAN SAYISI:
$EMPTY	EMPTY	 BOÞ
$EMPTY SLOT	EMPTY SLOT	 BOÞ YUVA
$Enable Depth of Field	Enable Depth of Field	 Alan Derinliðini Etkinleþtir
$Enable Depth of Field Desc	Enables depth of field effects.	 Alan derinliði efektlerini etkinleþtirir.
$Enable Motion Blur	Enable Motion Blur	 Hareket Bulanýklýðýný Etkinleþtir
$Enable Motion Blur Desc	Enables the motion blur effect.	 Hareket bulanýklýðý efektini etkinleþtirir.
$Enable RTX	Raytraced Global Illumination	 Raytraced Küresel Aydýnlatma
$Enable RTX Desc	Enables raytracing for indirect lighting. (*Enabling/disabling this setting requires a game restart.)	Dolaylý aydýnlatma için ýþýn izlemeyi etkinleþtirir. (*Bu ayarýn etkinleþtirilmesi/devre dýþý býrakýlmasý oyunun yeniden baþlatýlmasýný gerektirir.)
$Enable VRS	Enable VRS	 VRS'yi etkinleþtir
$Enable VRS Desc	Enables variable rate shading during rendering.	 Oluþturma sýrasýnda deðiþken oranlý gölgelemeyi etkinleþtirir.
$EnableMod	Enable	 Olanak vermek
$ENDURANCE	ENDURANCE	 DAYANIKLILIK
$ENERGY	ENERGY	 ENERJÝ
$ENG	ENG	 TR
$ENGINES	ENGINES	 MOTORLAR
$English	English	 Ýngilizce
$Enhancer	Enhancer	 Arttýrýcý
$ENLARGE	ENLARGE	 BÜYÜT
$ENTER	ENTER	 GÝRMEK
$Enter name.	Enter name.	 Ýsim giriniz.
$ENTER SCAN RANGE	ENTER SCAN RANGE TO REGISTER BODY DATA	 GÖVDE VERÝLERÝNÝ KAYIT ETMEK ÝÇÝN TARAMA ARALIÐINA GÝRÝN
$ENTER TEXT	ENTER TEXT	 METÝN GÝRÝN
$Entering Patrolled Area	ENTERING PATROLLED AREA	 DEVRÝYE ALANINA GÝRÝÞ
$ENTER_NAME	ENTER NAME	 ÝSÝM GÝRÝNÝZ
$Environment	Environment	 Çevre
$ENVIRONMENT RATING	ENVIRONMENT RATING	 ÇEVRE DERECESÝ
$EQUIP	EQUIP	 DONATMAK
$EQUIP HOLD	HOLD TO EQUIP	 DONANMAK ÝÇÝN TUTUN
$EQUIP POWER	EQUIP POWER	 GÜCÜ DONAT
$Equipped Item	Equipped Item	 Donanýmlý Öðe
$ERROR	ERROR	 HATA
$ERRORS	ERRORS	 HATALAR
$Errors	Errors	 Hatalar
$ET	ET	 ET
$EULAHeader	EULA applicable to residents of North America and Latin America:	 EULA, Kuzey Amerika ve Latin Amerika'da ikamet edenler için geçerlidir:
$Excessive Drive Damage	Excessive Drive Damage	 Aþýrý Tahrik Hasarý
$EXECUTE	EXECUTE	 UYGULAMAK
$Execute	EXECUTE	 UYGULAMAK
$Execute Critical	EXECUTE CRITICAL	 KRÝTÝK UYGULAMA
$EXIT	EXIT	 ÇIKIÞ
$Exit	Exit	 çýkýþ
$EXIT AND CANCEL	EXIT AND CANCEL	 ÇIKIÞ VE ÝPTAL
$EXIT ANYWAY	EXIT ANYWAY	 YÝNE ÇIKIN
$EXIT HOLD	HOLD TO EXIT	 ÇIKMAK ÝÇÝN BASILI TUTUN
$EXIT HOLD_LRG	EXIT	 ÇIKIÞ
$Exit Monocle	Exit Scanner	 Tarayýcýdan Çýk
$EXIT SHIP	EXIT SHIP	 GEMÝDEN ÇIK
$Exit Targeting	Exit Targeting	 Hedeflemeden Çýk
$ExitConfirmHeader	Confirm Exit	 Çýkýþý Onayla
$EXITSAVE	EXIT SAVE	 ÇIKIÞ KAYDET
$ExitSurvivalConfirmMessage	Are you sure you wish to lower the difficulty? This character will not be able to opt back into Survival in the future.	 Zorluðu azaltmak istediðinizden emin misiniz? Bu karakter gelecekte Hayatta Kalma moduna geri dönemeyecek.
$Exotic	Exotic	 Acayip
$EXPERIENCE	EXPERIENCE	DENEYÝM
$Expert	Expert	 Uzman
$EXPLORATION	EXPLORATION	 KEÞÝF
$ExplorationBodiesExplored	Planets/Moons Explored	 Keþfedilen Gezegenler/Aylar
$ExplorationBodiesScanned	Planets/Moons Scanned	 Taranan Gezegenler/Aylar
$ExplorationOrganicsScanned	Organics Scanned	 Taranan Organikler
$ExplorationStarSystemsVisited	Star Systems Visited	 Yýldýz Sistemleri Ziyaret Edildi
$Explored	Explored	 Keþfedilen
$Expression	Expression	 Ýfade
$EXTRAS	EXTRAS	 EKSTRALAR
$EXTRAS HOLD	HOLD FOR EXTRAS	 EKSTRALAR ÝÇÝN BEKLEYÝN
$Extreme environment	Extreme environment	 Aþýrý ortam
$EYE COLOR	EYE COLOR	 GÖZ RENGÝ
$EYELINERLOWER	EYE LINER LOWER	 GÖZ ASTARI ALT
$EYELINERUPPER	EYE LINER UPPER	 GÖZ ASTARI ÜST
$EYESHADOWLOWER	EYE SHADOW LOWER	 GÖZ FAR ALT
$EYESHADOWUPPER	EYE SHADOW UPPER	 GÖZ FAR ÜST
$FACE	FACE	 YÜZ
$FacePaint	FACE PAINT	 YÜZ BOYASI
$FACEPAINT	FACE PAINT	 YÜZ BOYASI
$FACIAL HAIR	FACIAL HAIR	 SAKAL
$FACIALFEATURES	FACIAL FEATURES	 YÜZ HATLARI
$FACIALFORMS	FACIAL FORMS 2	 YÜZ FORMLARI 2
$Faction	FACTION	 HÝZÝP
$FACTION	FACTION	 HÝZÝP
$FACTIONS	FACTIONS	 GRUPLAR
$Fanfare_Epic	EPIC ITEM ACQUIRED	 EPÝK ÜRÜN ELDE EDÝLDÝ
$Fanfare_Legendary	LEGENDARY ITEM ACQUIRED	 EFSANEVÝ ÜRÜN ELDE EDÝLDÝ
$Fanfare_Rare	RARE ITEM ACQUIRED	 ELDE EDÝLEN NADÝR ÜRÜN
$Fanfare_SkillBook	SKILL BONUS ACQUIRED	 KAZANILAN BECERÝ BONUSU
$Far Plane	Far Plane	 Uzak Düzlem
$Far Start	Far Start	 Uzak Baþlangýç
$FAR_TRAVEL	FAR TRAVEL	 UZAK SEYAHAT
$FAST	FAST	 HIZLI
$FAST TRAVEL SHIP	Fast Travel To Ship	 Gemiye Hýzlý Seyahat
$FastTravel	FAST TRAVEL	 HIZLI YOLCULUK
$FastTravelContraband	You cannot fast travel to this location because your ship is carrying contraband.	 Geminiz kaçak mal taþýdýðý için bu konuma hýzlý yolculuk yapamazsýnýz.
$FastTravelInsufficientFuel	You cannot fast travel to this location because you do not have sufficient fuel.	 Yeterli yakýtýnýz olmadýðý için bu konuma hýzlý yolculuk yapamazsýnýz.
$FastTravelOutOfRange	You cannot fast travel to this location because it is out of range.	 Menzil dýþýnda olduðundan bu konuma hýzlý seyahat edemezsiniz.
$FastTravelUndiscoveredNotInOrbit	You have not discovered this location yet.  Plot a grav jump?	 Bu konumu henüz keþfetmediniz. Yer çekimi sýçramasý mý planlýyorsunuz?
$FastTravelUndiscoveredOnBody	You have not discovered this location yet.	Bu konumu henüz keþfetmediniz.
$FAUNA	FAUNA	 FAUNA
$FAV	FAV	 Favorim
$FAVORITE	FAVORITE	 FAVORÝ
$Favorites	Favorites	 Favoriler
$FEMALE	FEMALE	 DÝÞÝ
$FEMININE	FEMININE	 KADINSI
$Field of View	Field of View	 Görüþ alaný
$FIELD RESEARCH TERMINAL	RESEARCH LABORATORY	 ARAÞTIRMA LABORATUVARI
$FIELD RESEARCH TERMINAL CATEGORY	RESEARCH LABORATORY - {0}	 ARAÞTIRMA LABORATUVARI - {0}
$Film Grain	Film Grain Intensity	 Film Tane Yoðunluðu
$Film Grain Desc	Sets the intensity of the film grain effect.	 Film greni efektinin yoðunluðunu ayarlar.
$Filter	Filter	 Filtre
$FILTER	FILTER	 FÝLTRE
$Filter Intensity	Filter Intensity	 Filtre Yoðunluðu
$Filters	Filters	 Filtreler
$FILTER_BIOME_ARCHIPELAGO	Archipelago	 Takýmadalar
$FILTER_BIOME_CRATERED	Cratered	 Kraterli
$FILTER_BIOME_DESERT	Desert	 Çöl
$FILTER_BIOME_FOREST	Forest	 Orman
$FILTER_BIOME_HILL	Hill	 Tepe
$FILTER_BIOME_MOUNTAIN	Mountain	 Dað
$FILTER_BIOME_OCEAN	Ocean	 Okyanus
$FILTER_BIOME_POLAR	Polar	 Kutupsal
$FILTER_BIOME_SAVANNAH	Savannah	 Savan
$FILTER_BIOME_SNOWFIELD	Snowfield	 Kar alaný
$FILTER_BIOME_TYPE	Biome Type	 Biyom Türü
$FILTER_BIOME_VOLCANIC	Volcanic	 Volkanik
$FILTER_BIOME_WETLANDS	Wetlands	 Sulak alanlar
$FILTER_BODY_TYPE	Body Type	 Gövde Tipi
$FILTER_BODY_TYPE_ASTEROID_BELT	Asteroid Belt	 Asteroit Kuþaðý
$FILTER_BODY_TYPE_MOON	Moon	 Ay
$FILTER_BODY_TYPE_PLANET	Planet	 Gezegen
$FILTER_BODY_TYPE_SATELLITE	Satellite	 Uydu
$FILTER_BODY_TYPE_STATION	Station	 Ýstasyon
$FILTER_IN_RANGE	Filter: In Range	 Filtre: Aralýk Ýçinde
$FILTER_NONE	Filter: None	 Filtre: Yok
$FILTER_SYSTEM_IN_RANGE	In Jump Range	 Atlama Aralýðýnda
$FILTER_SYSTEM_VISITED	Visited	 Ziyaret
$FINISH	FINISH	 SONA ERMEK
$FIRST	FIRST	 BÝRÝNCÝ
$Flashlight	Flashlight	 El feneri
$FLIGHT CHECK	FLIGHT CHECK	 UÇUÞ KONTROLÜ
$Flight Control Alternate Controls	Alternate Flight Controls	 Alternatif Uçuþ Kontrolleri
$Flight Control Alternate Controls_Desc	An alternate set of flight controls.	 Alternatif bir uçuþ kontrol seti.
$Flight Control Roll Dominant	Roll Dominant	 Rulo Baskýn
$Flight Control Roll Dominant_Desc	Swap roll and yaw between primary and secondary sticks when flying ships.	 Gemileri uçururken birincil ve ikincil çubuklar arasýnda dönüþ ve yalpalamayý deðiþtirin.
$Flight Control Stick Swap	Flight Stick Swap	 Uçuþ Çubuðu Takasý
$Flight Control Stick Swap_Desc	Swap left and right sticks when flying ships.	 Gemileri uçururken sol ve sað çubuklarý deðiþtirin.
$FLIP	FLIP	 ÇEVÝRME
$FLIPPAGE	FLIP PAGE	SAYFAYI ÇEVÝR
$FLOORDOWN	FLOOR DOWN	 ZEMÝN AÞAÐI
$FLOORUP	FLOOR UP	 KAT YUKARI
$FLORA	FLORA	 BÝTKÝ ÖRTÜSÜ
$Focus Point Teleport	Focus Point Teleport	 Odak Noktasý Iþýnlanmasý
$Focus Point Teleport Delta	Focus Point Teleport Delta	 Odak Noktasý Iþýnlanma Deltasý
$Focus_Point_Delta_Desc	Minimum amount there must be between the focus point and the player position to teleport when leaving camera mode.	 Kamera modundan çýkarken ýþýnlanabilmek için odak noktasý ile oyuncu konumu arasýnda minimum miktar bulunmalýdýr.
$Focus_Point_Teleport_Desc	Try to teleport to the focus point when leaving Outpost FlyCam.	 Outpost FlyCam'den ayrýlýrken odak noktasýna ýþýnlanmaya çalýþýn.
$Follow	Favorite	 Favori
$Following	Favoriting...	 Favorilere ekleniyor...
$FOOD	FOOD	 YÝYECEK
$Footsteps	Footsteps (Player)	 Ayak Sesleri (Oyuncu)
$Footsteps Audio Desc	Controls the volume of player footsteps and movement sounds.	 Oyuncunun ayak seslerinin ve hareket seslerinin yüksekliðini kontrol eder.
$FootstepsNPC	Footsteps (Other)	 Ayak Sesleri (Diðer)
$FootstepsNPC Audio Desc	Controls the volume of NPC and Creature footsteps and movement sounds.	 NPC'nin ve Yaratýk'ýn ayak seslerinin ve hareket seslerinin ses düzeyini kontrol eder.
$FOR SALE	FOR SALE	 SATILIK
$Forward	Forward	 Ýleri
$Frame	Frame	 Çerçeve
$Frame Category	Frame Category	 Çerçeve Kategorisi
$FRECKLES	FRECKLES	 ÇÝLLER
$Free	Free	 Özgür
$FreeSpace:	Free Space:	 Boþ alan:
$FreestarCollective	Freestar Collective	 Freestar Kolektifi
$French	French	 Fransýzca
$Friend	Friend	 Arkadaþ
$FSR2	FSR2	 FSR2
$FUEL	FUEL	 YAKIT
$Fuel (l)	Fuel (l)	 Yakýt (l)
$FUEL CAPACITY	FUEL CAPACITY	 YAKIT KAPASÝTESÝ
$FUEL CONSUMPTION	FUEL CONSUMPTION	 YAKIT TÜKETÝMÝ
$FuelFromOutpost	Using fuel from an Outpost	 Bir Karakoldan yakýt kullanmak
$GALAXY MAP	GALAXY MAP	 GALAXY HARÝTASI
$GAMEPLAY	GAMEPLAY	 OYNANIÞ
$Gameplay	Gameplay	 Oynanýþ
$Gamma	Gamma	 Gama
$Gamma Desc	Controls the brightness.	 Parlaklýðý kontrol eder.
$GENDER	GENDER	 CÝNSÝYET
$GENDERID	GENDER ID	 CÝNSÝYET KÝMLÝÐÝ
$GENERAL	GENERAL	 GENEL
$General	General	 Genel
$General Subtitles	General Subtitles	 Genel Altyazýlar
$General Subtitles Desc	Enables subtitles while walking around the game.	Oyunda dolaþýrken altyazýlarý etkinleþtirir.
$German	German	 Almanca
$GET UP	GET UP	 UYANMAK
$GI	CATALOGUE ID	 KATALOG KÝMLÝÐÝ
$Go	GO	 GÝTMEK
$Grass Fade	Grass Fade	 Çim Solmasý
$Grass Fade Desc	Controls the distance at which grass fades in.	 Çimlerin kaybolacaðý mesafeyi kontrol eder.
$GRAV	GRAV	 AÐIR
$GRAV JUMP Pending	GRAV JUMP PENDING	 GRAV ATLAMA BEKLENÝYOR
$GRAVITY	GRAVITY	 YER ÇEKÝMÝ
$GravJumpAborted	Grav Jump aborted.	 Grav Jump iptal edildi.
$GravJumpInProgress	Grav Jump In Progress.	 Yerçekimi Atlamasý Devam Ediyor.
$Grenade	Grenade	 El bombasý
$Grid View	PERK CHART	 AVANTAJ TABLOSU
$GRV	GRV	 GRV
$GST	GST	 GST
$GSTime_Suffix	GST (24 HR)	 GST (24 SAAT)
$HAIL	HAIL	 DOLU
$HAIR	HAIR	 SAÇ
$HAIR COLOR	HAIR COLOR	 SAÇ RENGÝ
$HAPPINESS	HAPPINESS	 MUTLULUK
$HAPPY	HAPPY	 MUTLU
$Hard	Hard	 Zor
$HardcorePreventedFastTravel	You cannot fast travel to this location. Place marker?	 Bu konuma hýzlý seyahat edemezsiniz. Ýþaretçi yerleþtirilsin mi?
$HARVEST	Harvest	 Hasat
$HEALTH	HEALTH	 SAÐLIK
$health	Health	 Saðlýk
$HEAVY	HEAVY	 AÐIR
$HELMET	HELMET	 KASK
$HELP	HELP	 YARDIM
$HE_HIM	HE/HIM	 O/ON
$HIDE	Hide Resources	 Kaynaklarý Gizle
$HIDE COMPLETED	HIDE COMPLETED	 TAMAMLANANLARI GÝZLE
$HIDE EFFECTS	HIDE EFFECTS	 ETKÝLERÝ GÝZLE
$HIDE UI	HIDE UI	 Kullanýcý Arayüzünü Gizle
$HideCaravans	HIDE SUPPLY LINES	 BESLEME HATLARINI GÝZLE
$HideQuestSummary	HIDE SUMMARY	 ÖZETÝ GÝZLE
$HighestRated	Highest Rated	 En yüksek dereceli
$Hold Breath	Hold Breath	 Nefesini tut
$HOLD DISTANCE	HOLD DISTANCE	 MESAFE TUTUN
$HOLD UP	HOLD UP	 GECÝKMEK
$HolotapePlay	PLAY	 OYNAMAK
$HolotapeStop	STOP	 DURMAK
$Hostile	Hostile	 Düþmanca
$HOUR	HOUR	 SAAT
$hour.	hour.	 saat.
$HOURS	HOURS	 SAAT
$hours.	hours.	 saat.
$Houseva'Ruun	House Va'Ruun	 Va'Ruun Hanesi
$HouseVa’ruun	House Va'ruun	 Va'ruun Hanesi
$HP	HP	 HP
$HUD	HUD	 HUD
$Hud Alert Locked On	Enemy Missiles Locked On	 Düþman Füzeleri Kilitlendi
$HUD Opacity	HUD Opacity	 HUD Opaklýðý
$HUD Opacity Desc	Controls the transparency of the HUD.	 HUD'un þeffaflýðýný kontrol eder.
$HUDColorB	HUD Color B	HUD Renk B
$HUDColorG	HUD Color G	 HUD Renk G
$HUDColorR	HUD Color R	 HUD Renk R
$HUDCommandAssign	Assign	 Atamak
$HUDCommandAttack	Attack	 Saldýrý
$HUDCommandCall	Call	 Arama
$HUDCommandEnter	Enter	 Girmek
$HUDCommandFollow	Follow	 Takip etmek
$HUDCommandHeal	Heal	 Ýyileþtirmek
$HUDCommandInspect	Inspect	 Ýncelemek
$HUDCommandMove	Move	 Taþýnmak
$HUDCommandRetrieve	Retrieve	 Geri almak
$HUDCommandRide	Ride	 Sürmek
$HUDCommandStay	Stay	 Kalmak
$HUDCompleted	Completed	 Tamamlanmýþ
$HUDDrink	WATER\nDRINK	 SU\nÝÇECEK
$HUDFailed	Failed	 Arýzalý
$HUDMessage_InventoryDisabled	Inventory is unavailable.	 Envanter kullanýlamýyor.
$HUDRejected	Rejected	 Reddedilmiþ
$HUDStarted	Started	 Baþlatýldý
$HUE	HUE	 TON
$HULL	HULL	 GÖVDE
$HULL DAMAGE	HULL DMG	 GÖVDE DMG
$HULL INTEGRITY	HULL INTEGRITY	 GÖVDE BÜTÜNLÜÐÜ
$HYDRATION	HYDRATION	 NEMLENDÝRME
$ICON_LABEL_CUSTOM	C	 C
$ICON_LABEL_DOCUMENT	D	 D
$ICON_LABEL_FOLDER	F	 F
$ICON_LABEL_KIOSK	K	 k
$IGNORE	IGNORE	 GÖRMEZDEN GELMEK
$IN TRANSIT	IN TRANSIT	 TRANSÝT OLARAK
$IN/OUT	IN/OUT	 GÝRÝÞ/ÇIKIÞ
$INCOMING HAIL	INCOMING HAIL	 GELEN DOLU
$INCOMING RESOURCES:	INCOMING RESOURCES:	 GELEN KAYNAKLAR:
$Incoming Resources:	Incoming Resources:	 Gelen Kaynaklar:
$INCOMING TRANSMISSION	INCOMING TRANSMISSION	 GELEN ÝLETÝM
$IndustrialWorkbench	Industrial Workbench	 Endüstriyel Tezgah
$INGREDIENTS	INGREDIENTS	 ÝÇÝNDEKÝLER
$INIT EXIT CONFIRM	Initializing Exit Confirmation...	 Çýkýþ Onayý baþlatýlýyor...
$Initializing...	Initializing...	 Baþlatýlýyor...
$INORGANIC	INORGANIC	 ÝNORGANÝK
$Input	Input	 Giriþ
$Input Mode	Input Mode	 Giriþ Modu
$Input Mode Description	Choose the preferred input mode	 Tercih edilen giriþ modunu seçin
$INPUT REQUIREMENTS:	INPUT REQUIREMENTS:	 GÝRÝÞ GEREKSÝNÝMLERÝ:
$Input Requirements:	Input Requirements:	 Giriþ Gereksinimleri:
$Input:	Input:	 Giriþ:
$InputAmount	Input Amount	 Giriþ Tutarý
$INSPECT	INSPECT	 ÝNCELEMEK
$INSTALL	INSTALL	 DÜZENLEMEK
$INSTALLED	INSTALLED	 KURULMUÞ
$INSTALLED COMPONENT	INSTALLED COMPONENT	 KURULU BÝLEÞEN
$Installing	Installing	 Kurulum
$Insufficient Fuel	Out Of Fuel Range	 Yakýt Menzilinin Dýþýnda
$Insufficient Power	Insufficient Power	 Yetersiz güç
$InsufficientFundsHeader	Insufficient Funds	 Yetersiz bakiye
$InsufficientPilotSkillForDesiredHomeShip	Your Piloting Skill is too low for this ship.	 Pilotluk Beceriniz bu gemi için çok düþük.
$InsufficientPlayerFunds	You do not have enough credits for this trade.	Bu ticaret için yeterli krediniz yok.
$InsufficientRegistrationFunds	You do not have enough credits to register.	 Kayýt olmak için yeterli krediniz yok.
